tweet_id,issue,text,author,label,time
877679780283375617,aca, At stake in WA state are  healthcare benefits for some         residents who gained coverage  w  Medicaid expansion https   t co KV d AJEwd,democrat,None,2017-06-21T20:09:00-04:00
877648762633465861,aca,The GOP plan  Healthcare for some  My plan   MedicareForAll  https   t co   Siu vXvl,democrat,None,2017-06-21T18:05:45-04:00
877635528732135425,isis,    million children in the US live with unsecured guns  The areas children play should be safe without harm to them or others   ASKDay https   t co FZhbgvIzCh,democrat,None,2017-06-21T17:13:10-04:00
877646479611109376,isis,Congratulations to Mikayla Steele of  Westfield as she received  theaward for her volunteer work with  Knots of Love  https   t co nRiiVetx  ,democrat,None,2017-06-21T17:56:41-04:00
877535129903788033,isis,Congratulations to  karenhandel  I look forward to working with you to represent the great people of Georgia in Washington D C   GA    GA  ,republican,None,2017-06-21T10:34:13-04:00
877608175859531776,isis,Meet the   Georgia high school students who were presented w   theaward s Gold Medal today at  uscapitol  Full video avail on my  facebook  https   t co visaw   Gn,republican,None,2017-06-21T15:24:28-04:00
877652350202253312,isis,Today marks the  TheLongestDay when we raise awareness &amp  recommit to finding a cure for Alzheimer s Disease   ENDALZ,democrat,None,2017-06-21T18:20:00-04:00
877476244069249025,aca,John McCain  I haven t seen the GOP s Obamacare repeal bill   but I m sure the Russians have   Tom McKay  https   t co JdS VlZsUM,democrat,None,2017-06-21T06:40:13-04:00
877613342860247040,isis,At a hearing yesterday  I raised the issue of nuclear waste storage as it specifically relates to San Onofre  https   t co pJIWRXDSqj QT  tdichristopher Sec Rick Perry warns US is at risk of a Fukushima type disaster if it doesn t find nuclear waste storage solution  https   t co OxcTYr t e,republican,None,2017-06-21T15:45:00-04:00
877560960210173953,isis,  SenSchumer  I’ve never seen a more radical or reckless legislative process in my time in politics   Trumpcare,democrat,None,2017-06-21T12:16:51-04:00
877558785862246400,isis,Tomorrow’s  NatSecForum reestablishes the importance of bipartisan thinking when it comes to national security &amp  foreign policy  https   t co UrSbIsUUBb,None,None,2017-06-21T12:08:13-04:00
877618128229982208,aca,Denying affordable  healthcare to Americans is not what this country is about  We have to defeat  Trumpcare  https   t co  zCpCQrm G,democrat,None,2017-06-21T16:04:01-04:00
877634965629841409,aca,New analysis from  CoveredCA shows plans created by  AHCA will put  healthcare out of reach for many https   t co MHiPj hLgV QT  CoveredCA AHCA’s “no cost health plans” could leave consumers w o access to care due to high deductibles &amp  reduced benefits  https   t co GAqDRNpWIc,democrat,None,2017-06-21T17:10:56-04:00
877633769691381762,isis,Earlier today  David Pekoske testified on his vision to lead  TSA if confirmed by the Senate  We hope to advance his nomination soon  https   t co W aUNapbOl,None,None,2017-06-21T17:06:10-04:00
877523725788360704,aca,PA would see their costs rise by an additional       billion over ten years just to maintain care for the    K covered by Medicaid expansion,democrat,None,2017-06-21T09:48:54-04:00
877641649358327808,aca,Calling for    refueling tankers to increase preparedness  strengthen NJ  jointbasemdl  RepLoBiondo  RepTomMacArthur https   t co rhbZF hdmq,democrat,None,2017-06-21T17:37:29-04:00
877648492075728896,isis,I m doing a Facebook Live Q &amp  A at      pm CST  Visit my page in    minutes to join the discussion  https   t co WFNKZeub s,democrat,None,2017-06-21T18:04:41-04:00
877533193062293505,immigration,I m at a Homeland Security &amp  Gov t Affairs Cmte hearing to consider nominees   watch  https   t co SkbmfZ unm,republican,None,2017-06-21T10:26:31-04:00
877566908014501889,aca,    of our economy will be affected by this bill  as    million ppl are expected to lose their health insurance   ProtectOurCare    ,democrat,None,2017-06-21T12:40:29-04:00
877529601425235968,isis,Looking forward to tonight’s  CWSG where I’ll be playing in honor of my friend &amp  colleague   maziehirono  Can’t wait to  BeatThePress ,republican,None,2017-06-21T10:12:15-04:00
877656501002752000,aca,Abt to speak on Senate floor in opposition to GOP s  ACA repeal  which would cripple women s access to healthcare  https   t co yn  hHrzTB,democrat,None,2017-06-21T18:36:30-04:00
877564607912591360,aca, SenateGOP Strengthening  Medicaid for those who need it most      ,republican,None,2017-06-21T12:31:21-04:00
877641868493938688,aca,Hiding the health care bill is just wrong  My constituents deserve to know what s in this thing https   t co gvQ iDSMkD,democrat,None,2017-06-21T17:38:21-04:00
877542054691254272,isis,Great meeting Congressional Award Gold Medal recipient Payton and her family  She is awesome  https   t co yN  Zel wd,democrat,None,2017-06-21T11:01:44-04:00
877685678590611456,isis,ISIS s cowardly &amp  desperate destruction of Mosul s Great Mosque is another blow to Arab world s ancient heritage –ER https   t co dhz m T pq,None,None,2017-06-21T20:32:27-04:00
877932333713825792,aca,Release your health care bill  then leave town to avoid answering questions about the bill from press  Sounds about right for  SenateGOP  https   t co ihzr YpgCK QT  nielslesniewski Oh  the Senate just set last votes for the week at   pm   jetfumes,None,None,2017-06-22T12:52:34-04:00
877953079433232384,immigration,FYI  Good news for  MI  and our tourism economy     https   t co AXLftfazYw QT  CQnow Homeland Security will approve additional work visas  H  Bs  for  short term foreign labor     https   t co Y TyODKqFj via  DeanDeChiaro https   t co ZKBldmRXR ,republican,None,2017-06-22T14:15:00-04:00
877874827260035073,isis,HAPPENING NOW   RepMcCaul convening the first ever bipartisan Capitol Hill National Security Forum  NatSecForum https   t co gb aIm mdt https   t co Ij hCU ICm,None,None,2017-06-22T09:04:03-04:00
877962045903319040,isis,Congratulations Principal O’Rourke &amp  Boyce Middle School    Awarded  Pennsylvania       School to Watch” for academic excellence  USCSchools https   t co z avnEmNC ,republican,None,2017-06-22T14:50:38-04:00
877919924726804480,aca,Just got out of a Banking Committee hearing  Reading the  SenateGOP healthcare bill for the first time now  I ll share my thoughts soon  https   t co  TrdduAO Z,democrat,None,2017-06-22T12:03:15-04:00
878013102691938306,aca,Leading healthcare advocacy groups are urging the Senate to make substantial changes to its healthcare plan    https   t co  j QdaLr b,democrat,None,2017-06-22T18:13:31-04:00
877897920674054144,aca,The discussion draft is up  You can view the Senate Republican Health Care bill here  https   t co xtsKDscokx,republican,None,2017-06-22T10:35:49-04:00
877965528563933184,aca,Senate GOP wanted to hide this healthcare bill from the public  Safe to say it should’ve never seen the light of day https   t co n JSwq eq ,democrat,None,2017-06-22T15:04:28-04:00
877986669143748608,isis,Expansion of China s Navy is alarming and is coming at a time when the US has systematically underfunded its national defense   NATSECforum,republican,None,2017-06-22T16:28:28-04:00
877964933563940864,aca,How can anyone support taking health care from disable children to cut taxes for billionaires  Indefensible ,democrat,None,2017-06-22T15:02:06-04:00
878005005265063936,aca,   hour  Philly  Healthcare  Vigilforourlives  ProtectOurCare http   pbs twimg com ext tw video thumb                    pu img dKnfcFWeSdchUOhg jpg https   video twimg com ext tw video                    pu vid    x    fTnDB wHAs H yej mp ,democrat,None,2017-06-22T17:41:20-04:00
877958523748982784,aca,The Senate  GOP  HealthcareBill –drafted in secret w  no public input– was NEVER intended to give better health care to more people   ,democrat,None,2017-06-22T14:36:38-04:00
877911565432999936,guns,Donating blood today in honor of  SteveScalise and those injured in the  AlexandriaShooting  https   t co  MvbC ITmM,democrat,None,2017-06-22T11:30:02-04:00
877947641379901440,aca, Trumpcare will hurt  Seniors Women Veterans Working families Rural communities     But  realDonaldTrump thinks its  going to be very good   https   t co LGOVji EdW QT  CBSNews  Little negotiation  but it s going to be very good   Pres  Trump says on new Senate GOP health care bill https   t co H aTLoY Mm https   t co  VwoF ZjJt,democrat,None,2017-06-22T13:53:23-04:00
